amount,average_transaction_amount,amount_deviation,transaction_hour,transaction_day,transactions_last_10_minutes,transaction_frequency,is_new_device,is_new_location,merchant_risk,is_fraud
4573.93,2500.0,1.83,15,21,0,33,0,0,1,0
1212.96,2000.0,0.61,18,23,0,23,0,0,0,0
3184.59,6000.0,0.53,5,23,0,43,0,0,0,0
9805.12,8000.0,1.23,19,14,0,6,0,0,1,0
2080.06,1500.0,1.39,18,9,0,48,0,0,0,0
5466.63,6000.0,0.91,16,15,0,48,0,0,0,0
1864.83,1500.0,1.24,14,17,1,17,1,0,0,0
12037.2,8000.0,1.5,18,18,0,8,0,0,0,0
60195.41,4000.0,15.05,2,14,9,27,1,1,2,1
1157.81,1500.0,0.77,9,19,0,36,0,0,0,0
4094.77,2500.0,1.64,17,9,0,40,0,0,0,0
3237.67,3000.0,1.08,11,24,0,24,0,0,0,0
42260.08,8000.0,5.28,15,1,5,32,0,1,1,0
2289.7,4500.0,0.51,16,8,0,44,0,0,1,0
31772.96,6000.0,5.3,16,19,4,19,0,1,1,0
2012.56,2500.0,0.81,10,15,0,6,0,0,1,0
92044.33,3000.0,30.68,2,11,8,8,1,1,2,1
2657.44,2500.0,1.06,11,24,0,38,0,0,0,0
9772.55,8000.0,1.22,9,9,0,29,0,0,0,0
3457.4,2000.0,1.73,12,1,0,23,0,0,0,0
8764.1,8000.0,1.1,18,3,1,45,0,0,0,0
2693.33,4500.0,0.6,11,14,0,32,0,0,0,0
5013.11,3000.0,1.67,17,12,0,17,1,0,0,0
1210.28,1500.0,0.81,16,3,0,26,0,0,0,0
11061.43,12000.0,0.92,9,19,0,6,0,1,0,0
2290.93,2500.0,0.92,12,20,0,15,0,0,0,0
1627.28,2000.0,0.81,19,10,0,50,0,0,0,0
945.5,2500.0,0.38,13,6,1,17,0,0,0,0
2119.2,2500.0,0.85,7,3,0,28,0,0,0,0
9094.27,8000.0,1.14,17,5,0,48,0,0,0,0
9513.91,6000.0,1.59,16,25,0,17,0,0,0,0
7253.37,12000.0,0.6,16,8,0,20,0,0,0,0
3297.42,2500.0,1.32,12,1,0,21,0,0,0,0
3636.01,3000.0,1.21,11,11,0,48,0,0,0,0
13708.41,2500.0,5.48,8,28,5,28,1,0,0,0
6424.22,6000.0,1.07,16,13,0,13,0,0,0,0
9620.99,12000.0,0.8,18,26,0,44,0,0,0,0
14991.04,12000.0,1.25,11,5,1,37,0,0,0,0
4002.45,2500.0,1.6,18,20,0,29,0,0,0,0
11075.26,8000.0,1.38,12,28,1,11,0,0,0,0
2483.83,2500.0,0.99,16,16,1,8,0,0,0,0
9216.57,8000.0,1.15,19,17,0,26,0,0,0,0
2758.59,2500.0,1.1,12,12,1,11,0,0,0,0
2526.06,1500.0,1.68,12,13,0,42,0,0,1,0
6430.9,8000.0,0.8,5,7,0,43,0,0,0,0
81418.26,2500.0,32.57,1,12,5,7,1,1,1,1
4437.05,4500.0,0.99,22,13,0,13,0,0,0,0
2781.05,4500.0,0.62,17,4,0,41,0,0,0,0
2500.61,2000.0,1.25,19,1,2,11,0,0,0,0
36261.31,8000.0,4.53,0,19,5,7,1,0,0,0
1561.62,4500.0,0.35,11,2,0,37,0,0,0,0
2718.24,4500.0,0.6,12,3,0,5,0,0,0,0
16295.57,3000.0,5.43,14,3,4,27,1,0,0,0
3453.06,4500.0,0.77,18,7,1,10,0,0,0,0
3807.43,2000.0,1.9,16,13,0,45,0,0,1,0
1291.48,2000.0,0.65,23,5,0,43,0,0,0,0
2146.01,2000.0,1.07,13,8,0,30,0,0,0,0
1258.28,2000.0,0.63,17,11,0,23,0,0,0,0
4963.28,3000.0,1.65,7,26,0,22,0,0,0,0
2177.35,2500.0,0.87,6,14,0,18,0,0,0,0
1854.61,1500.0,1.24,9,9,0,23,0,0,0,0
4608.96,3000.0,1.54,18,9,0,29,0,0,0,0
1885.28,1500.0,1.26,5,14,0,40,0,0,0,0
23633.3,4500.0,5.25,19,4,3,22,0,1,1,0
2858.91,2000.0,1.43,19,5,0,38,0,0,0,0
7111.79,4500.0,1.58,18,22,0,31,0,0,0,0
1377.73,2000.0,0.69,11,8,0,29,0,0,0,0
12958.14,8000.0,1.62,10,5,0,29,0,0,0,0
634.02,1500.0,0.42,13,1,0,38,0,0,0,0
2123.06,1500.0,1.42,17,23,0,45,0,0,1,0
2847.84,2000.0,1.42,15,11,0,27,0,0,0,0
1715.97,1500.0,1.14,21,27,0,10,0,0,0,0
9387.37,6000.0,1.56,19,27,0,19,0,0,0,0
2349.23,1500.0,1.57,17,26,0,43,0,0,0,0
5268.74,1500.0,3.51,13,21,3,13,1,0,1,0
11810.97,6000.0,1.97,14,21,1,47,0,0,0,0
8556.35,12000.0,0.71,14,20,0,14,0,0,0,0
7469.13,6000.0,1.24,18,21,0,16,0,0,0,0
11890.76,8000.0,1.49,19,11,0,27,0,0,0,0
2135.74,3000.0,0.71,11,1,0,22,0,0,1,0
4081.2,4500.0,0.91,14,4,0,9,0,0,1,0
7393.08,12000.0,0.62,12,13,0,30,0,0,0,0
2217.16,1500.0,1.48,11,22,0,38,0,0,0,0
4371.67,6000.0,0.73,9,6,0,7,0,0,0,0
7135.28,1500.0,4.76,8,2,5,23,0,1,1,0
1935.11,1500.0,1.29,10,13,0,28,0,0,0,0
1101.19,2000.0,0.55,19,5,1,26,0,0,0,0
63250.23,12000.0,5.27,15,10,5,18,1,1,2,0
15304.73,12000.0,1.28,9,23,0,22,0,0,0,0
6772.85,6000.0,1.13,19,26,1,6,0,0,0,0
9884.62,2500.0,3.95,15,23,4,24,0,1,1,0
1815.78,3000.0,0.61,18,28,0,50,0,0,0,0
2851.84,2500.0,1.14,14,14,0,45,0,0,0,0
